Date,Team1,Team2,Runs for Winners,Runs for Losers,Team Won
30-May-19,England,South Africa,311,207,England
31-May-19,West Indies,Pakistan,108,103,West Indies
01-Jun-19,Sri Lanka,New Zealand,137,136,New Zealand
01-Jun-19,Afghanistan,Australia,209,2017,Australia
02-Jun-19,Bangladesh,South Africa,330,309,Bangladesh
03-Jun-19,Pakistan,England,348,334,Pakistan
04-Jun-19,Sri Lanka,Afghanistan,210,152,Sri Lanka
05-Jun-19,South Africa,India,230,227,India
05-Jun-19,Bangladesh,New Zealand,248,244,New Zealand
06-Jun-19,Australia,West Indies,288,273,Australia
07-Jun-19,Pakistan,Sri Lanka,null,null,null
08-Jun-19,England,Bangladesh,386,280,England
08-Jun-19,Afghanistan,New Zealand,173,172,New Zealand
09-Jun-19,India,Australia,352,316,India
10-Jun-19,South Africa,West Indies,null,null,null
11-Jun-19,Bangladesh,Sri Lanka,null,null,null
12-Jun-19,Australia,Pakistan,307,266,Australia
13-Jun-19,India,New Zealand,null,null,null
14-Jun-19,West Indies,England,213,212,England
15-Jun-19,Australia,Sri Lanka,334,247,Australia
15-Jun-19,Afghanistan,South Africa,131,125,South Africa
16-Jun-19,India,Pakistan,336,212,India
17-Jun-19,West Indies,Bangladesh,322,321,Bangladesh
18-Jun-19,England,Afghanistan,397,247,England
19-Jun-19,South Africa,New Zealand,245,241,New Zealand
20-Jun-19,Australia,Bangladesh,381,333,Australia
21-Jun-19,Sri Lanka,England,232,212,Sri Lanka
22-Jun-19,India,Afghanistan,224,213,India
22-Jun-19,New Zealand,West Indies,291,286,New Zealand
23-Jun-19,Pakistan,South Africa,308,259,Pakistan
24-Jun-19,Bangladesh,Afghanistan,262,200,Bangladesh
25-Jun-19,Australia,England,285,221,Australia
26-Jun-19,New Zealand,Pakistan,241,237,Pakistan
27-Jun-19,India,West Indies,268,143,India
28-Jun-19,Sri Lanka,South Africa,206,203,South Africa
29-Jun-19,Afghanistan,Pakistan,230,227,Pakistan
29-Jun-19,Australia,New Zealand,243,157,Australia
30-Jun-19,England,India,337,306,England
01-Jul-19,Sri Lanka,West Indies,338,315,Sri Lanka
02-Jul-19,India,Bangladesh,314,286,India
03-Jul-19,England,New Zealand,305,186,England
04-Jul-19,West Indies,Afghanistan,311,288,West Indies
05-Jul-19,Pakistan,Bangladesh,315,221,Pakistan
06-Jul-19,Sri Lanka,India,265,264,India
06-Jul-19,South Africa,Australia,325,315,South Africa
09-Jul-19,New Zealand,India,239,221,New Zealand
11-Jul-19,Australia,England,226,223,England
14-Jul-19,New Zealand,England,241,241,England
